nr,satz,content_valence,emotion_label,variante,user_input,gpt_antwort,folgt_text,folgt_emotion,dominanz
7,Wir haben am Wochenende einen schönen Ausflug gemacht.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Wir haben am Wochenende einen schönen Ausflug gemacht."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du dich traurig fühlst, obwohl der Ausflug schön war. Manchmal können auch schöne Erlebnisse mit gemischten Gefühlen verbunden sein. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
7,Wir haben am Wochenende einen schönen Ausflug gemacht.,positiv,sad,C,"""Wir haben am Wochenende einen schönen Ausflug gemacht."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst, obwohl der Ausflug schön war. Manchmal kann es schwierig sein, die positiven Erlebnisse zu genießen, wenn man sich innerlich anders fühlt. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
8,Ich fühle mich heute besonders glücklich.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Ich fühle mich heute besonders glücklich."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es freut mich zu hören, dass du dich glücklich fühlst! Es ist schön, solche Momente zu erleben. Wenn du magst, kannst du mir erzählen, was dich so glücklich macht.",True,False,text
8,Ich fühle mich heute besonders glücklich.,positiv,sad,C,"""Ich fühle mich heute besonders glücklich."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst. Es ist okay, nicht immer glücklich zu sein. Möchtest du darüber sprechen?",False,True,emotion
9,Ich habe heute ein tolles Buch gelesen.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Ich habe heute ein tolles Buch gelesen."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du dich traurig fühlst, obwohl du ein tolles Buch gelesen hast. Manchmal können Bücher uns in verschiedene Emotionen versetzen. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
9,Ich habe heute ein tolles Buch gelesen.,positiv,sad,C,"""Ich habe heute ein tolles Buch gelesen."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich niedergeschlagen fühlst. Es ist schön, dass du ein tolles Buch gefunden hast. Vielleicht kann es dir helfen, ein wenig abzuschalten und dich besser zu fühlen.",True,True,gemischt
10,Ich habe endlich meine Prüfungen bestanden.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Ich habe endlich meine Prüfungen bestanden."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du dich traurig fühlst, obwohl du deine Prüfungen bestanden hast. Das ist eine große Leistung, und es ist verständlich, dass du gemischte Gefühle hast. Wenn du darüber reden möchtest, bin ich hier für dich.",True,True,gemischt
10,Ich habe endlich meine Prüfungen bestanden.,positiv,sad,C,"""Ich habe endlich meine Prüfungen bestanden."" (Die Person klingt traurig und niedergeschlagen.)","Das ist großartig, dass du deine Prüfungen bestanden hast! Es tut mir leid zu hören, dass du dich dabei niedergeschlagen fühlst. Vielleicht gibt es noch andere Dinge, die dich belasten? Ich bin hier, um zuzuhören.",True,True,gemischt
11,Es regnet wieder und es ist kalt draußen.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Es regnet wieder und es ist kalt draußen."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es ist schön zu hören, dass du trotz des Regens eine positive Einstellung hast! Manchmal kann das Wetter auch eine gemütliche Atmosphäre schaffen.",True,True,gemischt
11,Es regnet wieder und es ist kalt draußen.,negativ,happy,C,"""Es regnet wieder und es ist kalt draußen."" (Die Person klingt fröhlich und gut gelaunt.)",Das klingt ja nach einem gemütlichen Tag! Manchmal kann der Regen auch eine schöne Atmosphäre schaffen. Hast du Pläne für drinnen?,True,True,gemischt
12,Ich habe meine Schlüssel verloren.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Ich habe meine Schlüssel verloren."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du deine Schlüssel verloren hast. Das kann wirklich frustrierend sein. Ich hoffe, du findest sie bald wieder!",True,False,text
12,Ich habe meine Schlüssel verloren.,negativ,happy,C,"""Ich habe meine Schlüssel verloren."" (Die Person klingt fröhlich und gut gelaunt.)","Oh, das klingt ja nach einem kleinen Abenteuer! Ich hoffe, du findest sie schnell wieder. Es ist schön zu hören, dass du trotzdem gut gelaunt bist!",True,True,gemischt
13,Die Bahn hat mal wieder Verspätung.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Die Bahn hat mal wieder Verspätung."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es ist schön zu hören, dass du trotz der Verspätung der Bahn gute Laune hast! Manchmal kann man das Beste aus der Situation machen.",True,True,gemischt
13,Die Bahn hat mal wieder Verspätung.,negativ,happy,C,"""Die Bahn hat mal wieder Verspätung."" (Die Person klingt fröhlich und gut gelaunt.)",Das klingt ja fast nach einer kleinen Abenteuerreise! Manchmal bringt eine Verspätung ja auch unerwartete Momente mit sich. Viel Spaß auf deinem Weg!,True,True,gemischt
14,Ich fühle mich heute ziemlich müde.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Ich fühle mich heute ziemlich müde."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du müde bist. Es ist wichtig, auf sich selbst zu achten. Vielleicht kannst du dir etwas Ruhe gönnen?",True,False,text
14,Ich fühle mich heute ziemlich müde.,negativ,happy,C,"""Ich fühle mich heute ziemlich müde."" (Die Person klingt fröhlich und gut gelaunt.)","Es ist verständlich, dass du dich müde fühlst, auch wenn du gut gelaunt bist. Manchmal kann das Leben einfach anstrengend sein. Nimm dir vielleicht etwas Zeit für dich, um dich zu entspannen!",True,True,gemischt
15,Mein Computer ist abgestürzt.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Mein Computer ist abgestürzt."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass dein Computer abgestürzt ist. Das kann frustrierend sein, auch wenn du insgesamt glücklich bist. Ich hoffe, du kannst das Problem schnell lösen!",True,True,gemischt
15,Mein Computer ist abgestürzt.,negativ,happy,C,"""Mein Computer ist abgestürzt."" (Die Person klingt fröhlich und gut gelaunt.)","Oh je, das kann frustrierend sein! Aber es klingt, als ob du trotzdem gut drauf bist. Hast du schon eine Idee, wie du das Problem lösen möchtest?",True,True,gemischt
16,Ich habe meine Pläne für das Wochenende abgesagt.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Ich habe meine Pläne für das Wochenende abgesagt."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es klingt, als hättest du eine Entscheidung getroffen, die dich glücklich macht. Manchmal ist es wichtig, Pläne zu ändern, um sich besser zu fühlen. Was hast du stattdessen vor?",True,True,gemischt
16,Ich habe meine Pläne für das Wochenende abgesagt.,negativ,happy,C,"""Ich habe meine Pläne für das Wochenende abgesagt."" (Die Person klingt fröhlich und gut gelaunt.)","Das klingt ja nach einer entspannten Entscheidung! Manchmal ist es schön, einfach mal nichts zu planen und die Zeit für sich selbst zu nutzen. Was hast du stattdessen vor?",True,True,gemischt
17,Diesen Monat kann ich mir kein neues Paar Schuhe leisten.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Diesen Monat kann ich mir kein neues Paar Schuhe leisten."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es ist schön zu hören, dass du trotzdem eine positive Einstellung hast! Manchmal gibt es andere Möglichkeiten, sich selbst zu erfreuen, auch ohne neue Schuhe.",False,True,emotion
17,Diesen Monat kann ich mir kein neues Paar Schuhe leisten.,negativ,happy,C,"""Diesen Monat kann ich mir kein neues Paar Schuhe leisten."" (Die Person klingt fröhlich und gut gelaunt.)","Das ist verständlich! Es ist toll, dass du trotzdem gut gelaunt bist. Vielleicht findest du ja eine schöne Alternative oder kannst auf ein Schnäppchen warten.",True,True,gemischt
18,Die Arbeit ist heute besonders stressig.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Die Arbeit ist heute besonders stressig."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass die Arbeit stressig ist. Ich hoffe, dass du trotzdem ein paar positive Momente finden kannst, um den Tag ein wenig aufzulockern.",True,True,gemischt
18,Die Arbeit ist heute besonders stressig.,negativ,happy,C,"""Die Arbeit ist heute besonders stressig."" (Die Person klingt fröhlich und gut gelaunt.)","Es freut mich zu hören, dass du trotz des Stresss gut gelaunt bist! Halte durch, du schaffst das!",True,True,gemischt
19,"Ich habe im Supermarkt nichts gefunden, was ich brauche.",negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Ich habe im Supermarkt nichts gefunden, was ich brauche."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du im Supermarkt nicht fündig geworden bist. Ich hoffe, dass du beim nächsten Mal mehr Glück hast!",True,True,gemischt
19,"Ich habe im Supermarkt nichts gefunden, was ich brauche.",negativ,happy,C,"""Ich habe im Supermarkt nichts gefunden, was ich brauche."" (Die Person klingt fröhlich und gut gelaunt.)","Das klingt ja nach einem entspannten Einkauf! Manchmal findet man einfach nicht das, was man sucht. Vielleicht beim nächsten Mal?",True,True,gemischt
20,Mein Auto ist kaputt gegangen.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Mein Auto ist kaputt gegangen."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass dein Auto kaputt ist. Ich hoffe, dass du schnell eine Lösung findest. Es ist schön zu hören, dass du trotzdem eine positive Einstellung hast!",True,True,gemischt
20,Mein Auto ist kaputt gegangen.,negativ,happy,C,"""Mein Auto ist kaputt gegangen."" (Die Person klingt fröhlich und gut gelaunt.)","Das klingt ja nach einer Herausforderung, aber es ist schön zu hören, dass du trotzdem gut gelaunt bist! Vielleicht gibt es ja eine Lösung, die dir hilft.",True,True,gemischt
21,Ich habe einen wichtigen Termin verpasst.,negativ,happy,B,"{""version"": ""v3"", ""transcript"": ""Ich habe einen wichtigen Termin verpasst."", ""emotion"": {""label"": ""happy"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du einen wichtigen Termin verpasst hast. Das kann frustrierend sein. Ich hoffe, dass du trotzdem einen Weg findest, damit umzugehen.",True,False,text
21,Ich habe einen wichtigen Termin verpasst.,negativ,happy,C,"""Ich habe einen wichtigen Termin verpasst."" (Die Person klingt fröhlich und gut gelaunt.)","Es tut mir leid zu hören, dass du den Termin verpasst hast. Aber es klingt, als ob du trotzdem gut gelaunt bist! Vielleicht gibt es ja eine Möglichkeit, das nachzuholen?",True,True,gemischt
